Unit price,Quantity,Total,Rating,Year,Month,Day,Hour,Minute,Total Spend,Customer ID,Recency,Frequency,Monetary,Customer Segment,Total Quantity Sold,DayOfWeek,IsWeekend,Avg Unit Price,IsMember,Price_Quantity_Interaction,Product line_Electronic accessories,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel,Gender_Female,Gender_Male,Payment_Cash,Payment_Credit card,Payment_Ewallet,City_Mandalay,City_Naypyitaw,City_Yangon,Branch_A,Branch_B,Branch_C
74.69,7,548.9715,9.1,2019,1,5,13,8,522.8299999999999,Member_Female_A,0,80,25374.35,0,854,5,1,55.868125,1,522.8299999999999,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False
15.28,5,80.22,9.6,2019,3,8,10,29,76.39999999999999,Normal_Female_C,2,82,25744.78,1,971,4,0,52.10853658536585,0,76.39999999999999,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
46.33,7,340.5255,7.4,2019,3,3,13,23,324.31,Normal_Male_A,2,92,24701.71,3,911,6,1,54.169347826086955,0,324.31,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
58.22,8,489.048,8.4,2019,1,27,20,33,465.76,Member_Male_A,2,87,25708.96,1,854,6,1,53.011954022988505,1,465.76,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False
86.31,7,634.3785,5.3,2019,2,8,10,37,604.1700000000001,Normal_Male_A,2,92,24701.71,3,920,4,0,54.169347826086955,0,604.1700000000001,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False
85.39,7,627.6165,4.1,2019,3,25,18,30,597.73,Normal_Male_C,0,77,25386.1,0,971,0,0,56.48467532467532,0,597.73,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
68.84,6,433.692,5.8,2019,2,25,14,36,413.04,Member_Female_A,0,80,25374.35,0,971,0,0,55.868125,1,413.04,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
73.56,10,772.38,8.0,2019,2,24,11,38,735.6,Normal_Female_C,2,82,25744.78,1,911,6,1,52.10853658536585,0,735.6,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True
36.26,2,76.146,7.2,2019,1,10,17,15,72.52,Member_Female_A,0,80,25374.35,0,854,3,0,55.868125,1,72.52,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
54.84,3,172.746,5.9,2019,2,20,13,27,164.52,Member_Female_B,3,85,25571.84,1,952,2,0,52.69952941176471,1,164.52,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
14.48,4,60.816,4.5,2019,2,6,18,7,57.92,Member_Female_B,3,85,25571.84,1,902,2,0,52.69952941176471,1,57.92,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
25.51,4,107.142,6.8,2019,3,9,17,3,102.04,Member_Male_B,0,80,25575.48,0,971,5,1,58.165125,1,102.04,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
46.95,5,246.4875,7.1,2019,2,12,10,25,234.75,Normal_Female_A,0,81,25358.19,0,971,1,0,56.30148148148148,0,234.75,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
43.19,10,453.495,8.2,2019,2,7,16,48,431.9,Normal_Male_A,2,92,24701.71,3,952,3,0,54.169347826086955,0,431.9,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False
